year,cause,age,deaths,crude rate,age-adjusted,YPLL,crude YPLL,
2020,suicide,00-04,0,0,0,0,0,
2020,suicide,05-09,0,0,0,0,0,
2020,suicide,10-14,224,1.08,1.08,11620,55.99,
2020,suicide,15-19,"1,069",5.1,5.1,50878,242.73,
2020,suicide,20-24,"2,104",9.74,9.74,90166,417.54,
2020,suicide,25-29,"2,043",8.79,8.79,77773,334.78,
2020,suicide,30-34,"1,858",8.14,8.14,61507,269.31,
2020,suicide,35-39,"1,640",7.51,7.51,45881,210.19,
2020,suicide,40-44,"1,575",7.76,7.76,36341,178.95,
2020,suicide,45-49,"1,676",8.39,8.39,29976,150.1,
2020,suicide,50-54,"1,742",8.54,8.54,22565,110.64,
2020,suicide,55-59,"1,983",9.18,9.18,15718,72.76,
2020,suicide,60-64,"1,906",9.16,9.16,5750,27.64,
2020,suicide,65-69,"1,618",9.05,9.05,0,0,
2020,suicide,70-74,"1,489",10.15,10.15,0,0,
2020,suicide,75-79,"1,319",13.21,13.21,0,0,
2020,suicide,80-84,"1,018",15.75,15.75,0,0,
2020,suicide,85+,"1,028",15.44,15.44,0,0,
2020,homicide,00-04,85,0.44,0.44,5326,27.59,
2020,homicide,05-09,91,0,0,"5,278",26,
2020,homicide,10-14,218,1.05,1.05,11416,55.01,
2020,homicide,15-19,"2,442",11.65,11.65,115676,551.86,
2020,homicide,20-24,"3,599",16.67,16.67,154882,717.22,
2020,homicide,25-29,"3,494",15.04,15.04,132717,571.29,
2020,homicide,30-34,"2,873",12.58,12.58,95211,416.89,
2020,homicide,35-39,"2,185",10.01,10.01,61327,280.95,
2020,homicide,40-44,"1,512",7,7,"35,040",173,
2020,homicide,45-49,"1,103",5.52,5.52,19882,99.56,
2020,homicide,50-54,774,3.8,3.8,10181,49.92,
2020,homicide,55-59,615,2.85,2.85,5001,23.15,
2020,homicide,60-64,430,2.07,2.07,1383,6.65,
2020,homicide,65-69,240,1.34,1.34,0,0,
2020,homicide,70-74,130,0.89,0.89,0,0,
2020,homicide,75-79,103,1,1,0,0,
2020,homicide,80-84,55,0.85,0.85,0,0,
2020,homicide,85+,45,0.68,0.68,0,0,
2019,suicide,00-04,0,0,0,0,0,
2019,suicide,05-09,0,0,0,0,0,
2019,suicide,10-14,172,0.83,0.83,8910,42.8,
2019,suicide,15-19,995,4.72,4.72,47387,224.94,
2019,suicide,20-24,"1,805",8.34,8.34,77474,357.95,
2019,suicide,25-29,"1,826",7.76,7.76,69415,294.89,
2019,suicide,30-34,"1,681",7.48,7.48,55567,247.36,
2019,suicide,35-39,"1,625",7.47,7.47,45367,208.55,
2019,suicide,40-44,"1,562",7.84,7.84,35886,180.15,
2019,suicide,45-49,"1,780",8.73,8.73,31895,156.42,
2019,suicide,50-54,"1,836",8.97,8.97,23810,116.32,
2019,suicide,55-59,"2,265",10.36,10.36,18033,82.45,
2019,suicide,60-64,"2,001",9.73,9.73,6127,29.8,
2019,suicide,65-69,"1,675",9.6,9.6,0,0,
2019,suicide,70-74,"1,455",10.37,10.37,0,0,
2019,suicide,75-79,"1,333",13.81,13.81,0,0,
2019,suicide,80-84,911,14.43,14.43,0,0,
2019,suicide,85+,"1,018",15.43,15.43,0,0,
2019,homicide,00-04,57,0.29,0,"3,590",18,
2019,homicide,05-09,68,0.34,0,3942,19.49,
2019,homicide,10-14,144,0.69,0.69,7534,36.19,
2019,homicide,15-19,"1,773",8.42,8.42,83920,398.36,
2019,homicide,20-24,"2,636",12.18,12.18,113353,523.72,
2019,homicide,25-29,"2,595",11.02,11.02,98646,419.07,
2019,homicide,30-34,"2,079",9.26,9.26,68926,306.83,
2019,homicide,35-39,"1,576",7.25,7,"44,290",204,
2019,homicide,40-44,"1,206",6.05,6.05,27958,140.35,
2019,homicide,45-49,862,4.23,4.23,15604,76.53,
2019,homicide,50-54,585,2.86,2.86,7633,37.29,
2019,homicide,55-59,545,2.49,2.49,4383,20.04,
2019,homicide,60-64,328,1.6,1.6,1059,5.15,
2019,homicide,65-69,186,1.07,1.07,0,0,
2019,homicide,70-74,136,0.97,0.97,0,0,
2019,homicide,75-79,84,1,1,0,0,
2019,homicide,80-84,37,0.59,0.59,0,0,
2019,homicide,85+,36,0.55,0.55,0,0,
2018,suicide,00-04,0,0,0,0,0,
2018,suicide,05-09,0,0,0,0,0,
2018,suicide,10-14,202,0.97,0.97,10462,50.09,
2018,suicide,15-19,"1,094",5.19,5.19,52083,247.11,
2018,suicide,20-24,"1,901",8.71,8.71,81420,373.06,
2018,suicide,25-29,"1,836",7.8,7.8,69848,296.63,
