year,cause,State Name,State FIPS,Population,Deaths,Crude Rate,Age Adjusted Rate,YPLL,YPLL Crude Rate,YPLL Age-Adjusted Rate
2020,homicide,West Virginia,54,1593719,89,5.58,6.54,2337,191.53,214.7
2020,homicide,Florida,12,19419263,1266,6.52,7.59,40600,274.67,295.69
2020,homicide,Illinois,17,11097508,1167,10.52,11.25,40044,444.52,454.89
2020,homicide,Minnesota,27,4947916,145,2.93,3.09,4792,119.83,123.26
2020,homicide,Maryland,24,5325551,530,9.95,10.82,17818,410.72,433.7
2020,homicide,Rhode Island,44,948342,22,2.32,2.5,740,97.9,98.11
2020,homicide,Idaho,16,1588010,34,2.14,2.28,788,61.47,64.58
2020,homicide,New Hampshire,33,1234595,10,0.81,0.9,283,29.13,32.53
2020,homicide,North Carolina,37,9361889,758,8.1,8.66,24802,328.62,337.46
2020,homicide,Vermont,50,563912,--,--,--,.,.,43.06
2020,homicide,Connecticut,9,3183684,105,3.3,3.68,3433,135.28,142.83
2020,homicide,Delaware,10,875549,77,8.79,10.26,2836,418.32,441.69
2020,homicide,New Mexico,35,1856246,163,8.78,9.59,4810,328.03,336.43
2020,homicide,California,6,34589098,1822,5.27,5.47,57980,202.64,205.02
2020,homicide,New Jersey,34,7836096,254,3.24,3.61,8595,135.87,145.26
2020,homicide,Wisconsin,55,5161872,261,5.06,5.56,8331,202.51,214.93
2020,homicide,Oregon,41,3778590,125,3.31,3.53,3707,124.02,128.7
2020,homicide,Nebraska,31,1675771,50,2.98,3.11,1577,116.27,117.61
2020,homicide,Pennsylvania,42,11368683,796,7,7.91,27193,304.82,319.95
2020,homicide,Washington,53,6771900,231,3.41,3.53,7214,130.59,132.04
2020,homicide,Louisiana,22,4047695,744,18.38,19.69,24908,758.48,778.1
2020,homicide,Georgia,13,9375176,916,9.77,10.23,29512,378.33,388.06
2020,homicide,Alabama,1,4330208,569,13.14,14.35,17871,517.11,539.4
2020,homicide,Utah,49,2749899,85,3.09,3.01,2841,119.96,112.2
2020,homicide,Ohio,39,10298118,822,7.98,8.81,27616,336.76,351
2020,homicide,Texas,48,25305178,1769,6.99,7.05,57286,267.3,266.51
2020,homicide,Colorado,8,5138285,255,4.96,5.14,7948,186.49,189.58
2020,homicide,South Carolina,45,4617923,527,11.41,12.6,17409,478.07,496.16
2020,homicide,Oklahoma,40,3458093,270,7.81,8.31,8048,286.92,293.54
2020,homicide,Tennessee,47,6063240,663,10.94,11.79,20970,429.48,445.89
2020,homicide,Wyoming,56,511556,21,4.11,4.64,511,125.31,135.53
2020,homicide,Hawaii,15,1235411,17,1.38,1.42,387,40.3,40.07
2020,homicide,North Dakota,38,660224,19,2.88,3.15,523,97.38,100.3
2020,homicide,Kentucky,21,3929459,346,8.81,9.6,10552,334.07,352.99
2020,homicide,Maine,23,1219528,18,1.48,1.58,412,44.5,50.62
