Year,Firearms manufactured (Items),        Pistols (Items),        Revolvers (Items),        Shotguns (Items),        Misc. Firearms (Items),        Rifles (Items)
1998,3713590,960365,324390,868639,24506,1535690
1999,4047747,995446,335784,1106995,39837,1569685
2000,3793541,962901,318960,898442,30196,1583042
2001,2932655,626836,320143,679813,21309,1284554
2002,3366895,741514,347070,741325,21700,1515286
2003,3308404,811660,309364,726078,30978,1430324
2004,3099025,728511,294099,731769,19508,1325138
2005,3241494,803425,274205,709313,23179,1431372
2006,3653324,1021260,385069,714618,35872,1496505
2007,3922613,1219664,391334,645231,55461,1610923
2008,4498944,1609381,431753,630710,92564,1734536
2009,5555818,1868258,547195,752699,138815,2248851
2010,5459240,2258450,558927,743378,67929,1830556
2011,6541886,2598133,572857,862401,190407,2318088
2012,8578610,3487883,667357,949010,306154,3168206
2013,10844792,4441726,725282,1203072,495142,3979570
2014,9050626,3633454,744047,935411,358165,3379549
2015,9358661,3557199,885259,777273,447131,3691799
2016,11497441,4720075,856291,848617,833123,4239335
2017,8327792,3691010,720917,653139,758634,2504092
2018,9052628,3881158,664835,536126,1089973,2880536
2019,7011945,3046013,580601,480735,946929,1957667
